"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20100000901366,2010-10-05,2330,2010-10-07,1107,"CAR PROWL","THEFT-CARPROWL","NORTH","N","N3","GREENWOOD"
NA,2018-03-27,1700,2018-03-27,1918,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","S","S3","RAINIER BEACH"
20140000204882,NA,929,2014-06-26,930,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","M1","BELLTOWN"
20090000201727,2009-06-11,1500,2009-06-11,1552,"THEFT-BUILDING","THEFT-BUILDING","EAST","G","G1","FIRST HILL"
NA,2016-06-24,1530,2016-06-24,1759,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","WEST","Q","Q1","MAGNOLIA"
20170000263842,2017-07-19,2129,2017-07-19,2129,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","NORTH","B","B1","BALLARD SOUTH"
20150000393530,2015-11-09,2200,NA,1616,"MOTOR VEHICLE THEFT","VEH-THEFT-MTRCYCLE","NORTH","B","B2","FREMONT"
201400005671,NA,NA,2014-01-06,1226,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","R","R2","CLAREMONT/RAINIER VISTA"
20110000347801,2011-10-15,950,2011-10-25,941,"THEFT-ALL OTHER","THEFT-OTH","NORTH","U","U1","ROOSEVELT/RAVENNA"
20100000132866,2010-04-23,2300,NA,2331,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON",NA,"L","L3","LAKECITY"
20170000352404,2017-09-21,1958,NA,1958,"THEFT-SHOPLIFT",NA,"WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20100000257598,2010-07-23,1700,2010-07-26,1127,"THEFT-BICYCLE","THEFT-BICYCLE",NA,"J","J3","ROOSEVELT/RAVENNA"
20180000906644,2018-07-20,2330,NA,2036,"CAR PROWL","THEFT-CARPROWL","NORTH","U","U3","SANDPOINT"
NA,2013-10-01,1700,2013-10-01,1805,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","R","R2","MOUNT BAKER"
20080000384380,2008-10-12,2155,2008-10-12,2155,"LIQUOR LAW VIOLATION","LIQUOR LAW VIOLATION","EAST","E","E1","CAPITOL HILL"
20140000280763,NA,912,2014-08-23,912,"CAR PROWL","THEFT-CARPROWL",NA,"B","B1","BALLARD SOUTH"
2010000023625,2010-01-21,1340,2010-01-21,1710,"NARCOTIC","NARC-POSSESS-MARIJU","WEST","M","M3","DOWNTOWN COMMERCIAL"
20150000403329,2015-11-18,1747,NA,1747,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","SOUTH","S","S3","RAINIER VIEW"
2014000025531,2014-01-24,241,2014-01-24,241,"DUI","DUI-DRUGS","NORTH","J","J3","GREENWOOD"
20150000210877,2015-06-22,1547,2015-06-22,NA,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","SOUTH","S","S3","RAINIER VIEW"
20140000164143,2014-05-25,830,2014-05-25,1740,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","B","B2","PHINNEY RIDGE"
20090000171301,2009-05-20,23,2009-05-20,25,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","EAST","C","C1","MILLER PARK"
20180000902919,NA,1000,2018-04-03,1242,"THEFT-ALL OTHER","THEFT-OTH","NORTH","L","L3","LAKECITY"
20170000109683,2017-03-29,1154,2017-03-29,NA,NA,"ROBBERY-BUSINESS-BODYFORCE","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20160000306789,2016-08-24,2015,2016-08-24,2255,"CAR PROWL","THEFT-CARPROWL","WEST","Q","Q3","QUEEN ANNE"
20160000908655,2016-11-17,0,2016-11-17,1346,"CAR PROWL","THEFT-CARPROWL","NORTH","J","J1","BALLARD NORTH"
20180000333063,2018-09-05,0,2018-09-06,1243,"MOTOR VEHICLE THEFT",NA,NA,"Q","Q1","MAGNOLIA"
20170000911731,2017-12-25,1005,2017-12-25,2121,"CAR PROWL","THEFT-AUTOACC","NORTH","U","U1","UNIVERSITY"
20110000292742,2011-09-02,1700,2011-09-05,1035,"THEFT-ALL OTHER","THEFT-OTH","EAST","E","E2","CAPITOL HILL"
2008000046052,2008-02-04,400,2008-02-04,1808,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","R","R3",NA
2015000011808,2015-01-09,2100,2015-01-11,1755,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH",NA,"U2","UNIVERSITY"
2017000039494,2017-01-28,2100,2017-02-01,1720,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","O","O1","SODO"
20160000326390,2016-09-08,2055,2016-09-08,NA,NA,"THEFT-CARPROWL","SOUTH","R","R2","MOUNT BAKER"
