"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20140000340792,2014-10-11,1750,2014-10-11,1750,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-BODYFORCE","WEST","Q","Q3","SLU/CASCADE"
NA,2008-03-24,NA,2008-03-24,1627,"SEX OFFENSE-OTHER","SEXOFF-INDECENT EXPOSURE","WEST","D","D1","SLU/CASCADE"
20130000445056,2013-12-12,1400,2013-12-12,2001,"CAR PROWL","THEFT-CARPROWL","NORTH","L","L3",NA
20090000300024,2009-08-24,2100,2009-08-25,711,"CAR PROWL","THEFT-AUTOACC","SOUTH","R","R2","CLAREMONT/RAINIER VISTA"
20090000117118,2009-04-07,650,2009-04-07,1302,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","SOUTHWEST","F","F1","NORTH DELRIDGE"
20120000434293,2012-12-20,2324,NA,2324,"ROBBERY-STREET","ROBBERY-STREET-BODYFORCE","SOUTH","R","R3","COLUMBIA CITY"
201700001392,NA,2100,2017-01-02,1009,"CAR PROWL","THEFT-CARPROWL","EAST","C","C2","MILLER PARK"
20150000317721,2015-09-02,1200,2015-09-10,1827,"BURGLARY-COMMERCIAL","BURGLARY-NOFORCE-NONRES","WEST","D",NA,"QUEEN ANNE"
20080000141866,2008-04-20,1730,2008-04-20,1954,"CAR PROWL","THEFT-CARPROWL","WEST","M",NA,NA
20170000313536,2017-08-24,1352,2017-08-24,1352,"THEFT-ALL OTHER",NA,"NORTH","B","B1","BALLARD SOUTH"
NA,2009-10-20,700,2009-10-21,2053,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH","J","J3",NA
20080000341648,2008-09-11,2220,2008-09-12,1450,"PROSTITUTION","PROSTITUTION-ASSIST-PROMOTE","WEST","Q","Q3","SLU/CASCADE"
20180000906022,2018-07-03,430,2018-07-03,1141,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","R1","MID BEACON HILL"
NA,2016-05-17,1020,2016-05-17,1020,"MOTOR VEHICLE THEFT",NA,NA,"U","U1","SANDPOINT"
